tag;patrones;respuestas
Obligaciones con bancos e instituciones financieras ;Obligaciones con bancos e instituciones financieras ;Obligaciones con bancos e instituciones financieras 
Obligaciones con el público (Bonos Emitidos);Obligaciones con el público (Bonos Emitidos);Obligaciones con el público (Bonos Emitidos)
Obligaciones por Leasing;Obligaciones por Leasing;Obligaciones por Leasing
Instrumentos derivados ;Instrumentos derivados ;Instrumentos derivados 
Fondo Opcion de Compra por Pagar (Leasing);Fondo Opcion de Compra por Pagar (Leasing);Fondo Opcion de Compra por Pagar (Leasing)
Cuentas por pagar;Cuentas por pagar;Cuentas por pagar
Proveedores por Pagar;Proveedores por Pagar;Proveedores por Pagar
Acreedores varios;Acreedores varios;Acreedores varios
Documentos por pagar;Documentos por pagar;Documentos por pagar
Dividendos por pagar;Dividendos por pagar;Dividendos por pagar
Documentos y cuentas por pagar empresas relacionadas situadas en Chile (cuenta corriente mercantil);Documentos y cuentas por pagar empresas relacionadas situadas en Chile (cuenta corriente mercantil);Documentos y cuentas por pagar empresas relacionadas situadas en Chile (cuenta corriente mercantil)
Documentos y cuentas por pagar empresas relacionadas situadas en el Extranjero (cuenta corriente mercantil);Documentos y cuentas por pagar empresas relacionadas situadas en el Extranjero (cuenta corriente mercantil);Documentos y cuentas por pagar empresas relacionadas situadas en el Extranjero (cuenta corriente mercantil)
Provision de Indemnización;Provision de Indemnización;Provision de Indemnización
Provisiones por Vacaciones, por Bonos y por otros Beneficios a los Empleados;Provisiones por Vacaciones, por Bonos y por otros Beneficios a los Empleados;Provisiones por Vacaciones, por Bonos y por otros Beneficios a los Empleados
Otras Provisiones;Otras Provisiones;Otras Provisiones
Retenciones por Pagar;Retenciones por Pagar;Retenciones por Pagar
IVA Débito Fiscal ;IVA Débito Fiscal ;IVA Débito Fiscal 
Impuesto a la renta por Pagar;Impuesto a la renta por Pagar;Impuesto a la renta por Pagar
Otros Impuestos por Pagar;Otros Impuestos por Pagar;Otros Impuestos por Pagar
Ingresos percibidos por adelantado;Ingresos percibidos por adelantado;Ingresos percibidos por adelantado
Anticipo de Clientes;Anticipo de Clientes;Anticipo de Clientes
Otros pasivos Corrientes;Otros pasivos Corrientes;Otros pasivos Corrientes
Obligaciones con bancos e instituciones financieras ;Obligaciones con bancos e instituciones financieras ;Obligaciones con bancos e instituciones financieras 
Obligaciones con el público (Bonos Emitidos);Obligaciones con el público (Bonos Emitidos);Obligaciones con el público (Bonos Emitidos)
Documentos por pagar largo plazo;Documentos por pagar largo plazo;Documentos por pagar largo plazo
Acreedores varios largo plazo;Acreedores varios largo plazo;Acreedores varios largo plazo
Provisiones ;Provisiones ;Provisiones 
Impuestos diferidos ;Impuestos diferidos ;Impuestos diferidos 
Cuentas de Orden de Pasivos;Cuentas de Orden de Pasivos;Cuentas de Orden de Pasivos
Otros pasivos NO Corrientes;Otros pasivos NO Corrientes;Otros pasivos NO Corrientes
Capital pagado;Capital pagado;Capital pagado
Reserva revalorización capital;Reserva revalorización capital;Reserva revalorización capital
Sobreprecio en venta de acciones propias;Sobreprecio en venta de acciones propias;Sobreprecio en venta de acciones propias
Otras reservas;Otras reservas;Otras reservas
Reservas futuros dividendos;Reservas futuros dividendos;Reservas futuros dividendos
Utilidades acumuladas;Utilidades acumuladas;Utilidades acumuladas
Pérdidas acumuladas;Pérdidas acumuladas;Pérdidas acumuladas
Dividendos provisorios;Dividendos provisorios;Dividendos provisorios
Cuenta Obligada Socio;Cuenta Obligada Socio;Cuenta Obligada Socio
Reserva Ajuste IFRS por 1a Aplicación;Reserva Ajuste IFRS por 1a Aplicación;Reserva Ajuste IFRS por 1a Aplicación
Reserva Ajuste IFRS ;Reserva Ajuste IFRS ;Reserva Ajuste IFRS 
Valor Mercado Intrumentos Derivados de Cobertura acogidos Ley 20.544;Valor Mercado Intrumentos Derivados de Cobertura acogidos Ley 20.544;Valor Mercado Intrumentos Derivados de Cobertura acogidos Ley 20.544
Valor Mercado Intrumentos Derivados de Cobertura No acogidos Ley 20.544;Valor Mercado Intrumentos Derivados de Cobertura No acogidos Ley 20.544;Valor Mercado Intrumentos Derivados de Cobertura No acogidos Ley 20.544
Otros ajustes patrimoniales;Otros ajustes patrimoniales;Otros ajustes patrimoniales
Ingresos de explotación;Ingresos de explotación;Ingresos de explotación
Costos de explotación ;Costos de explotación ;Costos de explotación 
Gastos de administración y ventas ;Gastos de administración y ventas ;Gastos de administración y ventas 
Ingresos de explotación con partes relacionadas del exterior;Ingresos de explotación con partes relacionadas del exterior;Ingresos de explotación con partes relacionadas del exterior
Costos de explotación con relacionados del exterior;Costos de explotación con relacionados del exterior;Costos de explotación con relacionados del exterior
Gastos de administración y ventas con relacionados del exterior;Gastos de administración y ventas con relacionados del exterior;Gastos de administración y ventas con relacionados del exterior
Resultado Fuera De Explotacion;Resultado Fuera De Explotacion;Resultado Fuera De Explotacion
Ingresos financieros;Ingresos financieros;Ingresos financieros
Utilidad (pérdida) inversiones empresas relacionadas;Utilidad (pérdida) inversiones empresas relacionadas;Utilidad (pérdida) inversiones empresas relacionadas
Otros ingresos fuera de la explotación;Otros ingresos fuera de la explotación;Otros ingresos fuera de la explotación
Gastos financieros con empresas relacionadas ;Gastos financieros con empresas relacionadas ;Gastos financieros con empresas relacionadas 
Gastos financieros con empresas no relacionadas ;Gastos financieros con empresas no relacionadas ;Gastos financieros con empresas no relacionadas 
Resultado por Instrumentos Derivados;Resultado por Instrumentos Derivados;Resultado por Instrumentos Derivados
Ingresos financieros con partes relacionadas del exterior;Ingresos financieros con partes relacionadas del exterior;Ingresos financieros con partes relacionadas del exterior
Gastos financieros con partes relacionadas del exterior;Gastos financieros con partes relacionadas del exterior;Gastos financieros con partes relacionadas del exterior
Intereses percibidos o devengado con partes relacionadas del exterior;Intereses percibidos o devengado con partes relacionadas del exterior;Intereses percibidos o devengado con partes relacionadas del exterior
Intereses pagados o adeudados con partes relacionadas del exterior;Intereses pagados o adeudados con partes relacionadas del exterior;Intereses pagados o adeudados con partes relacionadas del exterior
Resultados que no representan flujo de fondos;Resultados que no representan flujo de fondos;Resultados que no representan flujo de fondos
Depreciacion;Depreciacion;Depreciacion
Deterioros;Deterioros;Deterioros
Amortización Intangibles distintos a las Plusvalias;Amortización Intangibles distintos a las Plusvalias;Amortización Intangibles distintos a las Plusvalias
Amortización menor valor de inversiones (Goodwill);Amortización menor valor de inversiones (Goodwill);Amortización menor valor de inversiones (Goodwill)
Amortización mayor valor de inversiones;Amortización mayor valor de inversiones;Amortización mayor valor de inversiones
Castigos;Castigos;Castigos
Ajustes a Valor de Mercado;Ajustes a Valor de Mercado;Ajustes a Valor de Mercado
Valor Mercado Instrumentos Derivados acogidos Ley 20.544;Valor Mercado Instrumentos Derivados acogidos Ley 20.544;Valor Mercado Instrumentos Derivados acogidos Ley 20.544
Valor Mercado Instrumentos Derivados NO acogidos Ley 20.544;Valor Mercado Instrumentos Derivados NO acogidos Ley 20.544;Valor Mercado Instrumentos Derivados NO acogidos Ley 20.544
Ajuste Valor Mercado Existencias (VNR) y Activos Biologicos;Ajuste Valor Mercado Existencias (VNR) y Activos Biologicos;Ajuste Valor Mercado Existencias (VNR) y Activos Biologicos
Ajuste Valor Mercado Propiedad Planta y Equipo, Propiedad Inversion, Activos No Corrientes Mantenidos para la Venta;Ajuste Valor Mercado Propiedad Planta y Equipo, Propiedad Inversion, Activos No Corrientes Mantenidos para la Venta;Ajuste Valor Mercado Propiedad Planta y Equipo, Propiedad Inversion, Activos No Corrientes Mantenidos para la Venta
Ajuste Valor Mercado Fondos Mutuos;Ajuste Valor Mercado Fondos Mutuos;Ajuste Valor Mercado Fondos Mutuos
Ajuste Valor Mercado Valores Negociables;Ajuste Valor Mercado Valores Negociables;Ajuste Valor Mercado Valores Negociables
Ajuste Valor Neto Realización;Ajuste Valor Neto Realización;Ajuste Valor Neto Realización
Otros Ajustes a Valor Mercado;Otros Ajustes a Valor Mercado;Otros Ajustes a Valor Mercado
Otros Resultados;Otros Resultados;Otros Resultados
