tag;patrones;respuestas;id
Disponible;Disponible;Disponible;1.01.01.00
Depósitos a plazo;Depósitos a plazo;Depósitos a plazo;1.01.03.00
Valores negociables;Valores negociables;Valores negociables;1.01.05.00
Instrumentos derivados ;Instrumentos derivados ;Instrumentos derivados ;1.01.07.00
Pactos Retrocompra- Retroventa;Pactos Retrocompra- Retroventa;Pactos Retrocompra- Retroventa;1.01.09.00
Inversiones en el Exterior;Inversiones en el Exterior;Inversiones en el Exterior;1.01.15.00
Deudores por venta, neto (excluye deudores por leasing);Deudores por venta, neto (excluye deudores por leasing);Deudores por venta, neto (excluye deudores por leasing);1.01.20.00
Deudores por Leasing;Deudores por Leasing;Deudores por Leasing;1.01.21.00
Documentos por cobrar ;Documentos por cobrar ;Documentos por cobrar ;1.01.25.00
Deudores varios;Deudores varios;Deudores varios;1.01.30.00
Documentos y cuentas por cobrar empresas relacionadas situadas en Chile (cuenta corriente mercantil);Documentos y cuentas por cobrar empresas relacionadas situadas en Chile (cuenta corriente mercantil);Documentos y cuentas por cobrar empresas relacionadas situadas en Chile (cuenta corriente mercantil);1.01.40.00
Documentos y cuentas por cobrar empresas relacionadas situadas en el Extranjero (cuenta corriente mercantil);Documentos y cuentas por cobrar empresas relacionadas situadas en el Extranjero (cuenta corriente mercantil);Documentos y cuentas por cobrar empresas relacionadas situadas en el Extranjero (cuenta corriente mercantil);1.01.41.00
Existencias, neto;Existencias, neto;Existencias, neto;1.01.50.00
Activos Biológicos, neto;Activos Biológicos, neto;Activos Biológicos, neto;1.01.51.00
Existencias en Tránsito;Existencias en Tránsito;Existencias en Tránsito;1.01.55.00
IVA Crédito Fiscal;IVA Crédito Fiscal;IVA Crédito Fiscal;1.01.59.00
Impuestos por recuperar;Impuestos por recuperar;Impuestos por recuperar;1.01.60.00
Créditos por Donaciones;Créditos por Donaciones;Créditos por Donaciones;1.01.61.00
Otros Créditos por recuperar;Otros Créditos por recuperar;Otros Créditos por recuperar;1.01.62.00
Bienes entregados en leasing;Bienes entregados en leasing;Bienes entregados en leasing;1.01.70.00
Otros activos corrientes;Otros activos corrientes;Otros activos corrientes;1.01.99.00
Propiedad Planta y Equipos y Otros  (excepto bienes entregados en Leasing);Propiedad Planta y Equipos y Otros  (excepto bienes entregados en Leasing);Propiedad Planta y Equipos y Otros  (excepto bienes entregados en Leasing);1.02.10.00
Terrenos;Terrenos;Terrenos;1.02.11.00
Construcción y obras de infraestructura;Construcción y obras de infraestructura;Construcción y obras de infraestructura;1.02.12.00
Maquinarias y equipos;Maquinarias y equipos;Maquinarias y equipos;1.02.13.00
Muebles y utiles;Muebles y utiles;Muebles y utiles;1.02.14.00
Equipos Computacionales y similares;Equipos Computacionales y similares;Equipos Computacionales y similares;1.02.15.00
Automóviles;Automóviles;Automóviles;1.02.16.00
Vehículos;Vehículos;Vehículos;1.02.17.00
