No;Cuenta
1;CAJA
2;BANCO CREDITO E INVERSIONES
3;BCO.SANTANDER
4;BANCO DE CHILE
5;DEPOSITOS A PLAZO
6;VARIOS DEUDORES
7;ANTICIPOS A ACREEDORES
8;PRESTAMOS AL PERSONAL
9;MATERIA PRIMA
10;PRODUCTOS EN PROCESO
11;PRODUCTOS TERMINADOS
12;SUBPRODUCTOS TERMINADOS
13;SUMINISTROS DE FABRICACION
14;SUMINISTROS DE MANTENCION
15;P. P. M.
16;GASTOS DE CAPACITACION
17;CREDITO 2% LEY 18.566
18;SEGUROS ANTICIPADOS
19;TERRENOS
20;CONSTRUCCIONES
21;MAQUINARIAS Y EQUIPOS
22;VEHICULOS
23;INSTALACIONES
24;MUEBLES Y UTILES
25;OTROS ACTIVOS FIJOS
26;DEPRECIACION ACUMULADA
27;IMPUESTOS DIFERIDOS POR COBRAR
28;OBLIG. BCOS Y FIN. CTO. PLAZO
29;OTROS CRÉDITOS CORTO PLAZO
30;INTERESES ANTICIPADO LARGO PLAZO PORCION CORTO
31;OTROS INTERESES ANTICIPADOS CORTO PLAZO
32;VARIOS ACREEDORES
33;ANTICIPO DEUDORES
34;PROVISIONES VARIAS
35;PROVISION VACACIONES
36;PROVISION DE GASTOS DE VENTA
37;IMPUESTOS POR PAGAR
38;PROVISION IMPUESTO RENTA
39;I.V.A.
40;RETENCION IMPUESTOS 2DA. CAT.
41;IMPOSICIONES POR PAGAR
42;CTA CTE EMPLEADOS
43;OTROS CREDITOS LARGO PLAZO
44;OBLIG.EN BCOS.E INST.FINANC LP
45;INTERESES ANTICIPADOS LARGO PLAZO
46;PROV. INDEMNIZ. AÑOS DE SERVIC
47;IMPUESTO DIFERIDO POR PAGAR LARGO PLAZO
48;CAPITAL
49;VALOR EN COLOCACION DE ACCION
50;RESULTADOS ACUMULADOS
51;RESULTADOS DEL EJERCICIO
52;VENTAS BROCHAS CONDOR PROFESIONAL
53;VENTAS BROCHAS CONDOR PREMIUM Y CAL
54;VENTAS PINCELES Y PINCELOTES CONDOR
55;VENTAS PINCELES Y PINCELOTES EXCELSIOR
56;VENTA CONDOR BLACK
57;VENTA PROTECTORES PINTURA CONDOR
58;VENTAS BROCHAS EXCELSIOR PROFESIONAL
59;VENTAS BROCHAS EXCELSIOR PREMIUM
60;VENTAS SET DE BROCHAS
61;VENTAS SET CONDOR BLACK
