id_cliente;id_estandar;nombre_cliente;debe;haber;deudor;acreedor;activo;pasivo;perdida;ganancia;;
11011001;1.01.01.00;CAJA PESOS;15286181;15286181;;0;0;0;0;0;0;0
11011003;1.01.01.00;FONDO DE CAJA EN TIENDAS;2530000;200000;2330000;0;2330000;0;0;0;0;2330000
11011004;1.01.01.00;FONDO FIJOS US$;1199460;;1199460;0;1199460;0;0;0;0;1199460
11011005;1.01.01.00;FONDOS FIJOS EN MONEDA NACIONAL PESOS;10206466;5406466;4800000;0;4800000;0;0;0;0;4800000
11012101;1.01.01.00;CAJA LA SERENA;155314587;155208657;105930;0;105930;0;0;0;0;105930
11012103;1.01.01.00;CAJA PARQUE ARAUCO;108964281;108753091;211190;0;211190;0;0;0;0;211190
11012104;1.01.01.00;CAJA ANTOFAGASTA;157756534;156372564;1383970;0;1383970;0;0;0;0;1383970
11012105;1.01.01.00;CAJA MEGATIENDA;275734491;274645101;1089390;0;1089390;0;0;0;0;1089390
11012106;1.01.01.00;CAJA LA DEHESA;59825045;58497124;1327921;0;1327921;0;0;0;0;1327921
11012107;1.01.01.00;CAJA COPIAPO;122509178;119801548;2707630;0;2707630;0;0;0;0;2707630
11012108;1.01.01.00;CAJA TALCA;120983297;119398637;1584660;0;1584660;0;0;0;0;1584660
11012109;1.01.01.00;CAJA PLAZA TREBOL;119082140;118428530;653610;0;653610;0;0;0;0;653610
11012110;1.01.01.00;CAJA CONCEPCION;259087120;254655420;4431700;0;4431700;0;0;0;0;4431700
11012111;1.01.01.00;CAJA TEMUCO;171595121;170531561;1063560;0;1063560;0;0;0;0;1063560
11012112;1.01.01.00;CAJA PUERTO MONTT;204958134;204546484;411650;0;411650;0;0;0;0;411650
11012115;1.01.01.00;CAJA PLAZA VESPUCIO;183311907;182703766;608141;0;608141;0;0;0;0;608141
11012116;1.01.01.00;CAJA VIÑA DEL MAR;214013366;213096946;916420;0;916420;0;0;0;0;916420
11012117;1.01.01.00;CAJA RANCAGUA;96517282;94880571;1636711;0;1636711;0;0;0;0;1636711
11012123;1.01.01.00;CAJA SAC;24669997;24654997;15000;0;15000;0;0;0;0;15000
11012125;1.01.01.00;CAJA COSTANERA CENTER;224406616;222629995;1776621;0;1776621;0;0;0;0;1776621
11012126;1.01.01.00;CAJA VALDIVIA;107892801;107548971;343830;0;343830;0;0;0;0;343830
11012127;1.01.01.00;CAJA LOS DOMINICOS;77886753;77466003;420750;0;420750;0;0;0;0;420750
11012128;1.01.01.00;CAJA ALTO LAS CONDES;15059881;15059881;0;0;0;0;0;0;0;0
11012130;1.01.01.00;CAJA OMNIUM;32370648;31700228;670420;0;670420;0;0;0;0;670420
11013101;1.01.01.00;BANCO CRÉDITO E INVERSIONES PESOS;9215989963;9190821990;25167973;0;25167973;0;0;0;0;25167973
11013102;1.01.01.00;BANCO SANTANDER PESOS;28287240106;28252634728;34605378;0;34605378;0;0;0;0;34605378
11013103;1.01.01.00;BANCO SANTANDER PESOS  MEGACENTER;217875322;217234703;640619;0;640619;0;0;0;0;640619
11013104;1.01.01.00;BANCO SANTANDER PESOS _ GARANTIAS;11067038677;11066207975;830702;0;830702;0;0;0;0;830702
11013105;1.01.01.00;BANCO SCOTIABANK AZUL PESOS;391524244;380097459;11426785;0;11426785;0;0;0;0;11426785
11013106;1.01.01.00;BANCO INTER PESOS;472230;167965;304265;0;304265;0;0;0;0;304265
11013107;1.01.01.00;BANCO SECURITY PESOS;1239340;617714;621626;0;621626;0;0;0;0;621626
11013108;1.01.01.00;BANCO CHILE PESOS;845720329;844358745;1361584;0;1361584;0;0;0;0;1361584
11013109;1.01.01.00;BANCO SCOTIABANK ROJO PESOS;11779872266;11762065585;17806681;0;17806681;0;0;0;0;17806681
11013110;1.01.01.00;BANCO BICE PESOS;1149534;574767;574767;0;574767;0;0;0;0;574767
11013111;1.01.01.00;BANCO ESTADO PESOS;2045762;460313;1585449;0;1585449;0;0;0;0;1585449
11013112;1.01.01.00;BANCO ITAÚ PESOS;1452540919;1445491411;7049508;0;7049508;0;0;0;0;7049508
11013113;1.01.01.00;BANCO ITAU / CORP PESOS;8358789296;8358066131;723165;0;723165;0;0;0;0;723165
11013114;1.01.01.00;BANCO ITAU LA SERENA;200288983;200288983;0;0;0;0;0;0;0;0
11013115;1.01.01.00;BANCO ITAU ARCADIA;243613;243613;0;0;0;0;0;0;0;0
11013116;1.01.01.00;BANCO ITAU PLAZA CROWNE AM;18086946;18086946;0;0;0;0;0;0;0;0
11013117;1.01.01.00;BANCO ITAU PARQUE ARAUCO;51124174;51124174;0;0;0;0;0;0;0;0
11013118;1.01.01.00;BANCO ITAU ANTOFAGASTA;88612664;88612664;0;0;0;0;0;0;0;0
11013119;1.01.01.00;BANCO ITAU MEGATIENDA;278059148;278059148;0;0;0;0;0;0;0;0
11013120;1.01.01.00;BANCO ITAU LA DEHESA;33659649;33659649;0;0;0;0;0;0;0;0
11013121;1.01.01.00;BANCO ITAU COPIAPO;27052741;27052741;0;0;0;0;0;0;0;0
11013122;1.01.01.00;BANCO ITAU TALCA;42702965;42702965;0;0;0;0;0;0;0;0
11013123;1.01.01.00;BANCO ITAU PLAZA TREBOL;23957285;23957285;0;0;0;0;0;0;0;0
11013124;1.01.01.00;BANCO ITAU CONCEPCION;47659680;47659680;0;0;0;0;0;0;0;0
11013125;1.01.01.00;BANCO ITAU TEMUCO;38441044;33329390;5111654;0;5111654;0;0;0;0;5111654
11013126;1.01.01.00;BANCO ITAU PUERTO MONTT;25793020;25793020;0;0;0;0;0;0;0;0
11013128;1.01.01.00;BANCO ITAU PLAZA VESPUCIO;72945992;72945992;0;0;0;0;0;0;0;0
11013129;1.01.01.00;BANCO ITAU VIÑA DEL MAR;75053222;75053222;0;0;0;0;0;0;0;0
11013130;1.01.01.00;BANCO ITAU RANCAGUA;14491533;14491533;0;0;0;0;0;0;0;0
11013132;1.01.01.00;BANCO ITAU CROWNE PLAZA FM;81800;81800;0;0;0;0;0;0;0;0
11013133;1.01.01.00;BANCO ITAU WEB;224395773;224395773;0;0;0;0;0;0;0;0
11013134;1.01.01.00;BANCO ITAU FLORIDA CENTER;8;8;0;0;0;0;0;0;0;0
11013136;1.01.01.00;BANCO ITAU LOS DOMINICOS;37455176;37455176;0;0;0;0;0;0;0;0
11013137;1.01.01.00;BANCO ITAU COSTANERA CENTER;111093676;111093676;0;0;0;0;0;0;0;0
11013138;1.01.01.00;BANCO ITAU VALDIVIA;35298544;35298544;0;0;0;0;0;0;0;0
11013139;1.01.01.00;BANCO ITAU ALTO LAS CONDES;6141905;6141905;0;0;0;0;0;0;0;0
11013140;1.01.01.00;BANCO SANTANDER RRHH;6769462211;6768592517;869694;0;869694;0;0;0;0;869694
11013141;1.01.01.00;BANCO ITAU SAC;20118919;20118919;0;0;0;0;0;0;0;0
11013201;1.01.01.00;BANCO CRÉDITO E INVERSIONES DÓLAR;1,33911E+11;1,33911E+11;417741;0;417741;0;0;0;0;417741
11013202;1.01.01.00;BANCO SANTANDER DÓLAR;16421595229;16259633448;161961781;0;161961781;0;0;0;0;161961781
11013203;1.01.01.00;BANCO SCOTIABANK AZUL DÓLAR;33598;19036;14562;0;14562;0;0;0;0;14562
11013204;1.01.01.00;BANCO INTER DÓLARES;1799511;1019609;779902;0;779902;0;0;0;0;779902
11013206;1.01.01.00;BANCO CHILE DÓLAR;1060976;601152;459824;0;459824;0;0;0;0;459824
