id_cliente;id_estandar;nombre_estandar;nombre_cliente;activo;pasivo;perdida;ganancia
11105;1.01.01.00;Disponible;CAJA;33300000;33000000;300000;0
11120;1.01.01.00;Disponible;BANCO CREDITO E INVERSIONES;4038616765;3811012761;227604004;0
11130;1.01.01.00;Disponible;BCO.SANTANDER;432994736;423830093;9164643;0
11140;1.01.01.00;Disponible;BANCO DE CHILE;2198547836;2113800240;84747596;0
11205;1.01.03.00;Depósitos a plazo;DEPOSITOS A PLAZO;1208699838;913550350;295149488;0
11305;1.01.30.00;Deudores varios;VARIOS DEUDORES;8536394477;6881719582;1654674895;0
11307;1.01.99.00;Otros activos corrientes;ANTICIPOS A ACREEDORES;994635345;950842218;43793127;0
11314;1.01.99.00;Otros activos corrientes;PRESTAMOS AL PERSONAL;1921763;1886879;34884;0
11505;1.01.50.00;Existencias, neto;MATERIA PRIMA;2663381867;2179494389;483887478;0
11515;1.01.50.00;Existencias, neto;PRODUCTOS EN PROCESO;4916678559;4875642562;41035997;0
11520;1.01.50.00;Existencias, neto;PRODUCTOS TERMINADOS;4288875359;3889334055;399541304;0
11530;1.01.50.00;Existencias, neto;SUBPRODUCTOS TERMINADOS;1905682320;1817220573;88461747;0
11550;1.01.50.00;Existencias, neto;SUMINISTROS DE FABRICACION;25449113;22506263;2942850;0
11560;1.01.50.00;Existencias, neto;SUMINISTROS DE MANTENCION;40438126;16979298;23458828;0
11605;1.01.99.00;Otros activos corrientes;P. P. M.;216118586;156497518;59621068;0
11610;1.01.99.00;Otros activos corrientes;GASTOS DE CAPACITACION;16665108;7305108;9360000;0
11630;1.01.62.00;Otros Créditos por recuperar;CREDITO 2% LEY 18.566;10786759;8802383;1984376;0
11705;1.01.99.00;Otros activos corrientes;SEGUROS ANTICIPADOS;32100;32100;0;0
12105;1.02.11.00;Terrenos;TERRENOS;482606726;0;482606726;0
12110;1.02.12.00;Construcción y obras de infraestructura;CONSTRUCCIONES;1020405276;0;1020405276;0
12120;1.02.13.00;Maquinarias y equipos;MAQUINARIAS Y EQUIPOS;620515618;1539453;618976165;0
12125;1.02.17.00;Vehículos;VEHICULOS;27950330;0;27950330;0
12130;1.02.12.00;Construcción y obras de infraestructura;INSTALACIONES;46566225;316000;46250225;0
12135;1.02.14.00;Muebles y utiles;MUEBLES Y UTILES;21093762;128923;20964839;0
12145;1.02.99.00;Otros Bienes Propiedad Planta y Equipo;OTROS ACTIVOS FIJOS;1233257696;4702871;1228554825;0
12150;1.02.90.00;Depreciación Acumulada (excepto Automoviles y Activos en Leasing);DEPRECIACION ACUMULADA;5386875;1695991231;0;1690604356
15110;1.03.50.00;Impuestos diferidos ;IMPUESTOS DIFERIDOS POR COBRAR;18369864;0;18369864;0
21105;2.01.01.00;Obligaciones con bancos e instituciones financieras ;OBLIG. BCOS Y FIN. CTO. PLAZO;87044136;264585900;0;177541764
21109;2.01.01.00;Obligaciones con bancos e instituciones financieras ;OTROS CRÉDITOS CORTO PLAZO;226140432;405028907;0;178888475
21111;2.01.01.00;Obligaciones con bancos e instituciones financieras ;INTERESES ANTICIPADO LARGO PLAZO PORCION CORTO;28600660;12006882;16593778;0
21112;2.01.01.00;Obligaciones con bancos e instituciones financieras ;OTROS INTERESES ANTICIPADOS CORTO PLAZO;22821244;16391114;6430130;0
21205;2.01.12.00;Acreedores varios;VARIOS ACREEDORES;5254382969;5637059624;0;382676655
21215;2.01.70.00;Anticipo de Clientes;ANTICIPO DEUDORES;9892297;21591893;0;11699596
21305;2.01.54.00;Otras Provisiones;PROVISIONES VARIAS;17932417;27513773;0;9581356
21306;2.01.51.00;Provisiones por Vacaciones, por Bonos y por otros Beneficios a los Empleados;PROVISION VACACIONES;5665757;73702292;0;68036535
21307;2.01.54.00;Otras Provisiones;PROVISION DE GASTOS DE VENTA;1441233827;1519227408;0;77993581
21310;2.01.61.00;Otros Impuestos por Pagar;IMPUESTOS POR PAGAR;15807667;21566145;0;5758478
21402;2.01.60.00;Impuesto a la renta por Pagar;PROVISION IMPUESTO RENTA;46118106;133276947;0;87158841
21405;2.01.59.00;IVA Débito Fiscal ;I.V.A.;1102739024;1175992120;0;73253096
21410;2.01.55.00;Retenciones por Pagar;RETENCION IMPUESTOS 2DA. CAT.;68194421;75903569;0;7709148
21430;2.01.55.00;Retenciones por Pagar;IMPOSICIONES POR PAGAR;264481613;292571772;0;28090159
21485;2.01.99.00;Otros pasivos Corrientes;CTA CTE EMPLEADOS;922380372;922380372;0;0
22104;2.02.01.00;Obligaciones con bancos e instituciones financieras ;OTROS CREDITOS LARGO PLAZO;178768475;204630500;0;25862025
22105;2.02.01.00;Obligaciones con bancos e instituciones financieras ;OBLIG.EN BCOS.E INST.FINANC LP;177557341;591821457;0;414264116
22106;2.02.01.00;Obligaciones con bancos e instituciones financieras ;INTERESES ANTICIPADOS LARGO PLAZO;41752468;24182246;17570222;0
22110;2.02.06.00;Provisiones ;PROV. INDEMNIZ. AÑOS DE SERVIC;30760966;367364846;0;336603880
22250;2.02.07.00;Impuestos diferidos ;IMPUESTO DIFERIDO POR PAGAR LARGO PLAZO;0;122845910;0;122845910
