id_cliente;id_estandar;nombre_estandar;nombre_cliente;activo;pasivo;perdida;ganancia
1110101001;1.01.01.00;Disponible;CAJA;73.296;0;0;0
1110102001;1.01.01.00;Disponible;BANCO CHILE;697.766;0;0;0
1110102003;1.01.01.00;Disponible;BANCO ESTADO;7.062.875;0;0;0
1110401001;1.01.20.00;Deudores por venta, neto (excluye deudores por leasing);CLIENTES NACIONALES;7.168.646;0;0;0
1110701001;1.01.40.00;Documentos y cuentas por cobrar empresas relacionadas situadas en Chile (cuenta corriente mercantil);CUENTAS POR COBRAR EMPRESAS RELACIONADAS;0;0;0;0
1210101001;1.03.10.00;Inversiones en otras sociedades en Chile;INVERSIONES EN EMPRESAS RELACIONADAS;1.543.467.576;0;0;0
2110702001;2.01.11.00;Proveedores por Pagar;PROVEEDORES NACIONALES;0;0;0;0
2110704001;2.01.12.00;Acreedores varios;ACREEDORES VARIOS;0;2.558.805;0;0
2120102001;2.01.40.00;Documentos y cuentas por pagar empresas relacionadas situadas en Chile (cuenta corriente mercantil);CUENTAS POR PAGAR EMPRESAS RELACIONADAS;0;1.104.201.488;0;0
2120701001;2.01.99.00;Otros pasivos Corrientes;INGRESOS PERCIBIDOS POR ADELANTADO;0;1.097.111;0;0
2210001001;2.02.01.00;Obligaciones con bancos e instituciones financieras ;PRESTAMO BANCO CHILE LP;0;164.383.412;0;0
2250001001;2.02.04.00;Acreedores varios largo plazo;DOCUMENTOS Y CUENTAS POR PAGAR EMPRESAS RELACIONADAS LP;0;32.506.482;0;0
2410001001;2.03.01.00;Capital pagado;CAPITAL;0;1.000.000;0;0
2415002001;2.03.06.00;Utilidades acumuladas;UTILIDADES ACUMULADAS;0;217.997.323;0;0
2415005002;2.03.04.00;Otras reservas;RETIROS;4.064.000;0;0;0
2432001001;2.03.02.00;Reserva revalorización capital;REVALORIZACION CAPITAL PROPIO;0;279.785;0;0
3510401001;3.02.03.00;Otros ingresos fuera de la explotación;OTROS INGRESOS NO OPERACIONALES;0;0;0;304.387
3510401002;3.02.03.00;Otros ingresos fuera de la explotación;RETIROS RECIBIDOS;0;0;0;45.113.663
4510301023;3.01.03.00;Gastos de administración y ventas ;GTOS GENERALES;0;0;746.035;0
4510301024;3.01.03.00;Gastos de administración y ventas ;GTOS BANCARIOS;0;0;3.358;0
4510301025;3.01.03.00;Gastos de administración y ventas ;PATENTES Y CONTRIBUCIONES;0;0;334.502;0
4510701001;3.01.03.00;Gastos de administración y ventas ;INTERESES DE PRESTAMOS;0;0;40.701.588;0
4521001001;3.02.03.00;Otros ingresos fuera de la explotación;CORRECCION MONETARIA;0;0;0;34.877.186
