id_cliente;id_estandar;nombre_estandar;nombre_cliente;activo;pasivo;perdida;ganancia
11010102;1.01.01.00;Disponible;  Caja                                                    ;0;0;0;0
11010111;1.01.01.00;Disponible;  Fondos fijos                                                ;400000;0;0;0
11010114;1.01.01.00;Disponible;  Deposito en Transito                                        ;0;0;0;0
11010211;1.01.01.00;Disponible;  Banco Chile                                     ;142015245;0;0;0
11010212;1.01.01.00;Disponible;  Banco Estado                                                ;2000000;0;0;0
11030101;1.01.05.00;Valores negociables;  Fondos Mutuos                                               ;0;0;0;0
11040101;1.01.20.00;Deudores por venta, neto (excluye deudores por leasing);  Clientes Facturas Nacionales                                ;497888621;0;0;0
11050104;1.01.25.00;Documentos por cobrar ;  Cheques Protestados                                         ;1146694;0;0;0
11050107;1.01.25.00;Documentos por cobrar ;  Cheque al dia                                           ;0;0;0;0
11050108;1.01.25.00;Documentos por cobrar ;  Cheque en cartera                                       ;247823186;0;0;0
11050111;1.01.25.00;Documentos por cobrar ;  Cuenta por cobrar relacionado ESVM                          ;22080262;0;0;0
11050112;1.01.25.00;Documentos por cobrar ;  Vale Vista                                                  ;0;0;0;0
11050203;1.01.30.00;Deudores varios;  Tarjeta de Credito                                      ;0;0;0;0
11050206;1.01.30.00;Deudores varios;  Transbank en transito                                       ;0;0;0;0
11060101;1.03.24.00;Anticipo y préstamos a los empleados;  Anticipos al personal                                       ;0;0;0;0
11060103;1.01.99.00;Otros activos corrientes;  Fondos a Rendir                                             ;0;0;0;0
11060107;1.03.24.00;Anticipo y préstamos a los empleados;  Deudor Personal                                             ;0;54174;0;0
11060201;1.03.25.00;Anticipo a proveedores;  Anticipo a Proveedores                                      ;527977;0;0;0
11060202;1.01.30.00;Deudores varios;  Otros deudores                                              ;0;0;0;0
11060203;1.01.99.00;Otros activos corrientes;  Anticipo a Honorarios                                       ;0;0;0;0
11060204;1.01.99.00;Otros activos corrientes;  Nota de credito por recibir pronto pago                     ;14980379;0;0;0
11060208;1.01.99.00;Otros activos corrientes;  Notas de Crédito por Recibir Distribuidora                  ;114451098;0;0;0
11060210;1.01.99.00;Otros activos corrientes;  Provision de Ingreso                                        ;23082665;0;0;0
11060213;1.01.99.00;Otros activos corrientes;  Deudor Especial Copec Distribuidora                         ;0;0;0;0
11080102;1.01.50.00;Existencias, neto;  Existecias Playa Bomba Lub Acc Prom                     ;0;0;0;0
11080106;1.01.50.00;Existencias, neto;  Automoviles Nuevos                                          ;0;0;0;0
11080113;1.01.50.00;Existencias, neto;  Existencias Accesorios                                      ;6462267;0;0;0
11080118;1.01.99.00;Otros activos corrientes;  Impuesto Especifico Diesel                                  ;0;0;0;0
11080120;1.01.50.00;Existencias, neto;  Existencias de Lubricantes Distribuidora                    ;241151051;0;0;0
11090101;1.01.59.00;IVA Crédito Fiscal;  IVA Credito Fiscal                                          ;0;0;0;0
