id_cliente;id_estandar;nombre_estandar;nombre_cliente;activo;pasivo;perdida;ganancia
1112001;1.01.01.00;Disponible;BANCO SANTANDER MONEDA NACIONAL (CLP);438.343;                        -;                     -;                        -
1181001;1.01.59.00;IVA Crédito Fiscal;IVA CREDITO FISCAL;                           -;                        -;                     -;                        -
1241001;1.03.01.00;Inversiones en empresas relacionadas;INVERSIONES EN EMPRESAS RELACIONADAS;1.277.589.556;                        -;                     -;                        -
1301001;1.03.50.00;Impuestos diferidos ;ACTIVOS POR IMPUESTOS DIFERIDOS;47.545.166;                        -;                     -;                        -
2131001;2.01.11.00;Proveedores por Pagar;PROVEEDORES NACIONALES (CLP);                           -;                        -;                     -;                        -
2241001;2.01.40.00;Documentos y cuentas por pagar empresas relacionadas situadas en Chile (cuenta corriente mercantil);CUENTAS X PAGAR EMPRESAS RELACIONADAS NO CORRIENTES CLP;                           -;2.813.225;                     -;                        -
2241003;2.01.40.00;Documentos y cuentas por pagar empresas relacionadas situadas en Chile (cuenta corriente mercantil);CUENTAS X PAGAR EMPRESAS RELACIONADAS NO CORRIENTES USD;                           -;607.853.015;                     -;                        -
2292001;2.01.14.00;Documentos por pagar;DOCUMENTOS POR PAGAR NO CORRIENTES;                           -;696.912;                     -;                        -
3111001;2.03.01.00;Capital pagado;CAPITAL PAGADO;                           -;204.999.795;                     -;                        -
3151001;2.03.04.00;Otras reservas;OTRAS RESERVAS;                           -;404.463.116;                     -;                        -
3171001;2.03.04.00;Otras reservas;UTILIDAD (PERDIDA) DEL EJERCICIO;                           -;                        -;                     -;                        -
4112001;3.02.03.00;Otros ingresos fuera de la explotación;RESULTADOS POR INVERSIONES EN OTRAS SOCIEDADES CLP;                           -;                        -;                     -;103.682.700
6118002;3.05.10.00;Otros egresos fuera de la explotación ;IVA NO RECUPERABLE;                           -;                        -;13.816;                        -
6111101;3.05.10.00;Otros egresos fuera de la explotación ;PATENTE MUNICIPAL;                           -;                        -;108.578;                        -
7141001;3.02.03.00;Otros ingresos fuera de la explotación;DIFERENCIA DE CAMBIO;                           -;                        -;                     -;30.980.608
8121001;3.05.10.00;Otros egresos fuera de la explotación ;INTERESES FINANCIEROS PRESTAMOS;                           -;                        -;25.009.316;                        -
8122002;3.05.10.00;Otros egresos fuera de la explotación ;COMISIONES BANCO;                           -;                        -;162.752;                        -
8153001;3.06.01.00;Impuesto a La Renta;IMPUESTO RENTA 1º CATEGORIA;                           -;                        -;4.621.844;                        -
