id_cliente;id_estandar;nombre_estandar;nombre_cliente;activo;pasivo;perdida;ganancia
2110202;2.01.12.00;Acreedores varios;OBLIGBANCOS POR IMPORTACION;145868835;145868835;0;0
2110504;2.01.12.00;Acreedores varios;OBLIGACIONES FACTORING;7247960520;7753491753;0;505531233
2115123;2.01.12.00;Acreedores varios;RECUPERACION VVISTA PROVEEDORES;68307443;92237243;0;23929800
211514K;2.01.12.00;Acreedores varios;ROYALTY POR PAGAR INVOICE;83474954;83474954;0;0
1225367;1.02.30.00;Activos en Leasing;Activos en Leasing Maquinaria;37248621;37248621;0;0
1130390;1.03.25.00;Anticipo a proveedores;ANTICIPO PROV EXTRANJERO;2860358465;2539692451;320666014;0
1130404;1.03.25.00;Anticipo a proveedores;ANTICIPO PROVEEDORES;734390757;663498767;70891990;0
1130412;1.03.25.00;Anticipo a proveedores;ANTICIPO ROYALTY;302364881;314403192;0;12038311
2140608;2.01.70.00;Anticipo de Clientes;ANTICIPO DE CLIENTES;1471615317;1487353017;0;15737700
1130323;1.03.24.00;Anticipo y préstamos a los empleados;ANTICIPO DE SUELDO;96083648;96083648;0;0
2410109;2.03.01.00;Capital pagado;CAPITAL;0;3606538917;0;3606538917
1210114;1.02.12.00;Construcción y obras de infraestructura;INSTALACIONES ;266423163;509800;265913363;0
1225103;1.02.12.00;Construcción y obras de infraestructura;EDIFICIO PANAMERICANA;900632319;0;900632319;0
1225162;1.02.12.00;Construcción y obras de infraestructura;BODEGA 110;173925606;0;173925606;0
1225308;1.02.12.00;Construcción y obras de infraestructura;ESTACIONAMIENTOS;40364445;0;40364445;0
4110064;3.01.02.00;Costos de explotación ;COSTO DE GRABADO E IMPRESION;345100;0;345100;0
4110110;3.01.02.00;Costos de explotación ;COSTO DE VENTAS;9576053907;746955125;8829098782;0
4110137;3.01.02.00;Costos de explotación ;COSTO DE VENTAS EXPORTACIONES;161090976;17530861;143560115;0
4110145;3.01.02.00;Costos de explotación ;COSTO VTAS TRIANG COMERCIAL;32235646;0;32235646;0
4110153;3.01.02.00;Costos de explotación ;COSTO DE VENTAS ECOMMERCE;8540974;0;8540974;0
4110307;3.01.02.00;Costos de explotación ;COSTO DE VENTAS DE OTROS PRODUCTOS;24468927;0;24468927;0
4420306;3.03.01.00;Depreciacion;DEPRECIACION DEL EJERCICIO;2668140691;2483575346;184565345;0
1210181;1.02.90.00;Depreciación Acumulada (excepto Automoviles y Activos en Leasing);DEPRECIACION ACUM INSTALACIONES;51507412;199892374;0;148384962
121019K;1.02.90.00;Depreciación Acumulada (excepto Automoviles y Activos en Leasing);DEPRECIACION ACUM MOBILIARIO OFICINAS;156461631;928796849;0;772335218
1210203;1.02.90.00;Depreciación Acumulada (excepto Automoviles y Activos en Leasing);DEPRECIACION ACUM ARTICULOS INFORMATICOS;172145963;634090147;0;461944184
1215159;1.02.90.00;Depreciación Acumulada (excepto Automoviles y Activos en Leasing);DEPRECIACION ACUMMAQY EQUIPOS;112911634;442965968;0;330054334
1215167;1.02.90.00;Depreciación Acumulada (excepto Automoviles y Activos en Leasing);DEPRECIACION ACUMULADA MAQ DE CUADERNOS;798712068;2526317032;0;1727604964
1215175;1.02.90.00;Depreciación Acumulada (excepto Automoviles y Activos en Leasing);DEPRECIACION ACUMULADA MAQ IMPRENTA ;403748352;751152699;0;347404347
