id_cliente;id_estandar;nombre_estandar;nombre_cliente;activo;pasivo;perdida;ganancia
1111001;1.01.01.00;Disponible;CAJA; 52.880 ;                             - ;                             - ;                             - 
1112001;1.01.01.00;Disponible;BANCO SANTANDER; 392.166.392 ;                             - ;                             - ;                             - 
1112002;1.01.01.00;Disponible;BANCO DE CHILE; 149.383.974 ;                             - ;                             - ;                             - 
1112003;1.01.01.00;Disponible;BANCO INTERANCIONAL; 4.691.697 ;                             - ;                             - ;                             - 
1112004;1.01.01.00;Disponible;BANCO SECURITY; 2.313.135 ;                             - ;                             - ;                             - 
1113001;1.01.01.00;Disponible;BANCO SANTANDER (USD); 15.720.697 ;                             - ;                             - ;                             - 
1113002;1.01.01.00;Disponible;BANCO DE CHILE (USD); 30.185.131 ;                             - ;                             - ;                             - 
1123001;1.01.30.00;Deudores varios;INTERESES DIFERIDOS OBLIG. BANCARIAS MONEDA NACIONAL (CLP); 54.352.830 ;                             - ;                             - ;                             - 
1141001;1.01.20.00;Deudores por venta, neto (excluye deudores por leasing);CLIENTES NACIONALES; 178.322.823 ;                             - ;                             - ;                             - 
1141002;1.01.20.00;Deudores por venta, neto (excluye deudores por leasing);CLIENTES EXTRANJEROS; 107.840.892 ;                             - ;                             - ;                             - 
1143001;1.03.25.00;Anticipo a proveedores;ANTICIPO A PROVEEDORES NACIONALES (CLP); 1.725.541 ;                             - ;                             - ;                             - 
1143002;1.03.25.00;Anticipo a proveedores;ANTICIPO A PROVEEDORES EXTRANJEROS (USD); 111.187.864 ;                             - ;                             - ;                             - 
1144001;1.01.99.00;Otros activos corrientes;FONDOS POR RENDIR; 1.098.312 ;                             - ;                             - ;                             - 
1144002;1.03.24.00;Anticipo y préstamos a los empleados;ANTICIPOS AL PERSONAL; 420.000 ;                             - ;                             - ;                             - 
1144003;1.03.24.00;Anticipo y préstamos a los empleados;ANTICIPOS HONORARIOS; 50.000 ;                             - ;                             - ;                             - 
1144004;1.03.24.00;Anticipo y préstamos a los empleados;PRESTAMOS AL PERSONAL; 9.411.179 ;                             - ;                             - ;                             - 
1144005;1.01.99.00;Otros activos corrientes;ASIGNACION FAMILIAR; 133.714 ;                             - ;                             - ;                             - 
1144006;1.01.99.00;Otros activos corrientes;ANTICIPO A AGENTE DE ADUANAS; 391.977 ;                             - ;                             - ;                             - 
1145002;1.01.99.00;Otros activos corrientes;ESTIMACION DE DEUDORES INCOBRABLES INTERNACIONALES;                             - ; 103.640.284 ;                             - ;                             - 
1151001;1.01.40.00;Documentos y cuentas por cobrar empresas relacionadas situadas en Chile (cuenta corriente mercantil);CUENTAS POR COBRAR EERR CLP; 85.979.786 ;                             - ;                             - ;                             - 
1151002;1.01.41.00;Documentos y cuentas por cobrar empresas relacionadas situadas en el Extranjero (cuenta corriente mercantil);CUENTAS POR COBRAR EERR USD;325.078.866;                            -;                            -;                            -
1161001;1.01.50.00;Existencias, neto;PRODUCTOS TERMINADOS STEVIA;406.580.952;                            -;                            -;                            -
1161002;1.01.50.00;Existencias, neto;PRODUCTOS TERMINADOS OTRAS LINEAS;68.237;                            -;                            -;                            -
1162001;1.01.50.00;Existencias, neto;MATERIA PRIMA LINEA STEVIA;176.287.848;                            -;                            -;                            -
1162002;1.01.50.00;Existencias, neto;MATERIA PRIMA OTROS PRODUCTOS;63.154.407;                            -;                            -;                            -
1162003;1.01.50.00;Existencias, neto;MATERIAL DE EMBALAJE;4.473.997;                            -;                            -;                            -
1163001;1.01.50.00;Existencias, neto;PRODUCTOS EN PROCESO;                            -;3.000.247;                            -;                            -
1163002;1.01.50.00;Existencias, neto;PRODUCTOS INTERMEDIOS;43.737.390;                            -;                            -;                            -
1171002;1.01.99.00;Otros activos corrientes;PAGOS PROVISIONALES MENSUALES (PPM);20.153.067;                            -;                            -;                            -
1171006;1.01.62.00;Otros Créditos por recuperar;REMANENTE CREDITO FISCAL;22.007.308;                            -;                            -;                            -
1181001;1.01.59.00;IVA Crédito Fiscal;IVA CREDITO FISCAL;                            -;                            -;                            -;                            -
1181005;1.01.60.00;Impuestos por recuperar;IMPUESTOS POR RECUPERAR;                            -;                            -;                            -;                            -
1213001;1.01.99.00;Otros activos corrientes;INTERESES DIFERIDOS OBLIG. BANCARIAS MONEDA NACIONAL (CLP);39.487.492;                            -;                            -;                            -
1222001;1.01.99.00;Otros activos corrientes;BOLETAS EN GARANTIA;382.171.250;                            -;                            -;                            -
1222002;1.01.99.00;Otros activos corrientes;ARRIENDOS EN GARANTIA;2.975.348;                            -;                            -;                            -
1251001;1.02.25.00;Software;SOFTWARE Y LICENCIAS;1.242.000;                            -;                            -;                            -
1253002;1.02.99.00;Otros Bienes Propiedad Planta y Equipo;OTROS ACTIVOS INTANGIBLES;16.937.351;                            -;                            -;                            -
1271001;1.02.11.00;Terrenos;TERRENOS;408.000.000;                            -;                            -;                            -
1271002;1.02.12.00;Construcción y obras de infraestructura;EDIFICIO Y CONSTRUCCIONES;1.243.743.942;                            -;                            -;                            -
1271003;1.02.12.00;Construcción y obras de infraestructura;INSTALACIONES;44.532.050;                            -;                            -;                            -
1271004;1.02.13.00;Maquinarias y equipos;MAQUINARIA Y EQUIPOS;816.776.898;                            -;                            -;                            -
1271005;1.02.15.00;Equipos Computacionales y similares;EQUIPOS COMPUTACIONALES;3.206.683;                            -;                            -;                            -
1271006;1.02.14.00;Muebles y utiles;MUEBLES Y UTILES;23.754.260;                            -;                            -;                            -
1271007;1.02.30.00;Activos en Leasing;VEHICULOS EN LEASING;13.984.666;                            -;                            -;                            -
1271008;1.02.15.00;Equipos Computacionales y similares;EQUIPOS DE LABORATORIO;2.923.393;                            -;                            -;                            -
1271009;1.02.14.00;Muebles y utiles;HERRAMIENTAS Y OTROS SIMILARES;55.949.240;                            -;                            -;                            -
1271010;1.02.30.00;Activos en Leasing;OTROS ACTIVOS FIJOS EN LEASING;1.154.988.762;                            -;                            -;                            -
