id_cliente;id_estandar;nombre_estandar;nombre_cliente;activo;pasivo;perdida;ganancia
1110101001;1.01.01.00;Disponible;CAJA;3.323.510;0;0;0
1110102001;1.01.01.00;Disponible;BANCO CHILE;19.097.152;0;0;0
1110701001;1.01.40.00;Documentos y cuentas por cobrar empresas relacionadas situadas en Chile (cuenta corriente mercantil);CUENTAS POR COBRAR EMPRESAS RELACIONADAS;240.779.507;0;0;0
1110901005;1.01.99.00;Otros activos corrientes;OTROS IMPUESTOS;90.196;0;0;0
1210621002;1.03.10.00;Inversiones en otras sociedades en Chile;INVERSIONES ESVM;368.643.655;0;0;0
1210621003;1.03.10.00;Inversiones en otras sociedades en Chile;INVERSIONES SUZUVAL;4.662.264;0;0;0
1210621004;1.03.10.00;Inversiones en otras sociedades en Chile;INVERSIONES AUTOARRIENDO;74.767.616;0;0;0
1212101001;1.02.11.00;Terrenos;TERRENOS;113.110.487;0;0;0
1212102001;1.02.12.00;Construcción y obras de infraestructura;EDIFICACION Y CONSTRUCCION;278.820.840;0;0;0
1212106001;1.02.90.00;Depreciación Acumulada (excepto Automoviles y Activos en Leasing);D A EDIFICACION Y CONSTRUCCION;0;44.138.651;0;0
2110702001;2.01.11.00;Proveedores por Pagar;PROVEEDORES NACIONALES;0;0;0;0
2410001001;2.03.01.00;Capital pagado;CAPITAL;0;50.000.000;0;0
2415002001;2.03.06.00;Utilidades acumuladas;UTILIDADES ACUMULADAS;0;127.272.216;0;0
2415005002;2.03.04.00;Otras reservas;RETIRO MIAC;35.001.380;0;0;0
2432001001;2.03.02.00;Reserva revalorización capital;REVALORIZACION CAPITAL PROPIO;0;357.232.838;0;0
2460001002;2.03.04.00;Otras reservas;APORTE SOCIO AHK;0;539.338.823;0;0
3510401001;3.02.03.00;Otros ingresos fuera de la explotación;OTROS INGRESOS NO OPERACIONALES;0;0;0;3.854.471
3510401002;3.02.03.00;Otros ingresos fuera de la explotación;DIVIDENDOS PERCIBIDOS;0;0;0;45.116.663
4510301006;3.01.03.00;Gastos de administración y ventas ;SEGUROS;0;0;664.037;0
4510301023;3.01.03.00;Gastos de administración y ventas ;GTOS GENERALES;0;0;946.035;0
4510301025;3.01.03.00;Gastos de administración y ventas ;PATENTES Y CONTRIBUCIONES;0;0;7.832.409;0
4510601001;3.01.03.00;Gastos de administración y ventas ;DEPRECIACION DEL EJERCICIO;0;0;5.647.240;0
4521001001;3.01.03.00;Gastos de administración y ventas ;CORRECCION MONETARIA;0;0;13.567.334;0
