id_cliente;id_estandar;nombre_estandar;nombre_cliente;activo;pasivo;perdida;ganancia
1101010000;1.01.01.00;Disponible;CAJA EFECTIVO; 2.864.730 ;                                  - ;                                      - ;                                    - 
1101010001;1.01.01.00;Disponible;CAJA  CHEQUE AL DIA; 2.000.000 ;                                  - ;                                      - ;                                    - 
1101010003;1.01.01.00;Disponible;CAJA  VALE VISTA;                                 - ;                                  - ;                                      - ;                                    - 
1101020000;1.01.01.00;Disponible;CAJA CHICA; 4.386.650 ;                                  - ;                                      - ;                                    - 
1101031060;1.01.01.00;Disponible;BANCO DE CHILE  SALDO 1012078803; 1.175.528.305 ;                                  - ;                                      - ;                                    - 
1101031061;1.01.01.00;Disponible;BANCO DE CHILE  EFECTIVO 1012078803; 49.120.225 ;                                  - ;                                      - ;                                    - 
1101031062;1.01.01.00;Disponible;BANCO DE CHILE  DOCUMENTOS 1012078803; 19.939.665 ;                                  - ;                                      - ;                                    - 
1101031064;1.01.01.00;Disponible;BANCO DE CHILE  OTROS ABONOS 1012078803; 6.428.392 ;                                  - ;                                      - ;                                    - 
1101031065;1.01.01.00;Disponible;BANCO DE CHILE  CH GIRADOS 1012078803;                                 - ; 27.389.933 ;                                      - ;                                    - 
1101031066;1.01.01.00;Disponible;BANCO DE CHILE  TRANSFERENCIA 1012078803;                                 - ;                                  - ;                                      - ;                                    - 
1101031067;1.01.01.00;Disponible;BANCO DE CHILE  OTROS CARGOS 1012078803; 5.179.370 ;                                  - ;                                      - ;                                    - 
1101031068;1.01.01.00;Disponible;BANCO DE CHILE  CH PROTESTADOS 1012078803;                                 - ;                                  - ;                                      - ;                                    - 
1101031100;1.01.01.00;Disponible;BANCO CREDITO E INVERS SALDO 40208532; 507.667.063 ;                                  - ;                                      - ;                                    - 
1101031101;1.01.01.00;Disponible;BANCO CREDITO E INVERS EFECTIVO 40208532; 10.886.580 ;                                  - ;                                      - ;                                    - 
1101031102;1.01.01.00;Disponible;BANCO CREDITO E INVERS DOCUMENTOS 40208532;                                 - ; 163.129 ;                                      - ;                                    - 
1101031104;1.01.01.00;Disponible;BANCO CREDITO E INVERS OTROS ABONOS 40208532;                                 - ; 8.997.910 ;                                      - ;                                    - 
1101031106;1.01.01.00;Disponible;BANCO CREDITO E INVERS TRANSFERENCIA 40208532;                                 - ;                                  - ;                                      - ;                                    - 
1101031107;1.01.01.00;Disponible;BANCO CREDITO E INVERS OTROS CARGOS 40208532;                                 - ;                                  - ;                                      - ;                                    - 
1101031180;1.01.01.00;Disponible;BANCO SANTANDER STGO SALDO 0063807559; 67.344.564 ;                                  - ;                                      - ;                                    - 
1101031181;1.01.01.00;Disponible;BANCO SANTANDER STGO  EFECTIVO  0063807559; 16.647.580 ;                                  - ;                                      - ;                                    - 
1101031182;1.01.01.00;Disponible;BANCO SANTANDER STGO DOCUMENTOS 0063807559;                                -;                                 -;                                     -;                                   -
1101031184;1.01.01.00;Disponible;BANCO SANTANDER STGO OTROS ABONOS 0063807559;                                -;14.591.640;                                     -;                                   -
1101031186;1.01.01.00;Disponible;BANCO SANTANDER STGO CH TRANSFERENCIA 0063807559;                                -;1.371.262.131;                                     -;                                   -
1101033240;1.01.01.00;Disponible;BANCO ESTADO SALDO 23900079125;629.210.875;                                 -;                                     -;                                   -
1101033241;1.01.01.00;Disponible;BANCO ESTADO EFECTIVO 23900079125;                                -;60.000;                                     -;                                   -
1101033242;1.01.01.00;Disponible;BANCO ESTADO DOCUMENTOS 23900079125;                                -;                                 -;                                     -;                                   -
1101033244;1.01.01.00;Disponible;BANCO ESTADO OTROS ABONOS 23900079125;                                -;5.401.000;                                     -;                                   -
1101033246;1.01.01.00;Disponible;BANCO ESTADO TRANSFERENCIA 23900079125;                                -;                                 -;                                     -;                                   -
1101033620;1.01.01.00;Disponible;BANCO ITAU SALDO 0214713494;9.977.591;                                 -;                                     -;                                   -
1101033621;1.01.01.00;Disponible;BANCO ITAU EFECTIVO 0214713494;                                -;                                 -;                                     -;                                   -
1101033622;1.01.01.00;Disponible;BANCO ITAU DOCUMENTOS 0214713494;                                -;                                 -;                                     -;                                   -
1101033623;1.01.01.00;Disponible;BANCO ITAU RECAUDACION 0214713494;                                -;                                 -;                                     -;                                   -
1101033624;1.01.01.00;Disponible;BANCO ITAU OTROS ABONOS 0214713494;                                -;                                 -;                                     -;                                   -
1101033626;1.01.01.00;Disponible;BANCO ITAU TRANSFERENCIA 0214713494;                                -;                                 -;                                     -;                                   -
1103010001;1.01.05.00;Valores negociables;FONDOS MUTUOS;20.000.000;                                 -;                                     -;                                   -
1104010001;1.01.30.00;Deudores varios;CLIENTES  CREDITO SIMPLE;1.924.524.116;                                 -;                                     -;                                   -
1104010003;1.01.30.00;Deudores varios;CLIENTES  TARJETAS DE CREDITO;122.731.198;                                 -;                                     -;                                   -
1104010005;1.01.30.00;Deudores varios;CLIENTES  ANTICIPOS;                                -;828.839.520;                                     -;                                   -
1104040001;1.01.99.00;Otros activos corrientes;ESTIMDEUDORES INCOBRABLES;                                -;4.789.424;                                     -;                                   -
1105010001;1.01.30.00;Deudores varios;CARTERA  CHEQUES;557.492.255;                                 -;                                     -;                                   -
1105010003;1.01.30.00;Deudores varios;CARTERA  PAGARES;                                -;                                 -;                                     -;                                   -
1105010004;1.01.30.00;Deudores varios;CARTERA  MUTUOS;1.332.319.909;                                 -;                                     -;                                   -
1105010005;1.01.25.00;Documentos por cobrar ;PROTESTADOS  CHEQUES;1.000.000;                                 -;                                     -;                                   -
1105010032;1.01.25.00;Documentos por cobrar ;CHEQUES PROTESTADOS EN COBRANZA PREJUDICIAL;4.789.424;                                 -;                                     -;                                   -
1105010042;1.01.25.00;Documentos por cobrar ;RESPCHEQUES EN GARANTIA;1.000.000;                                 -;                                     -;                                   -
1106010001;1.01.40.00;Documentos y cuentas por cobrar empresas relacionadas situadas en Chile (cuenta corriente mercantil);CTAS CTES EMPRELACIONADAS  CLIENTES;386.702.164;                                 -;                                     -;                                   -
1106010002;1.01.40.00;Documentos y cuentas por cobrar empresas relacionadas situadas en Chile (cuenta corriente mercantil);CTAS CTES EMPRELACIONADAS  COMERCIAL;1.577.984.174;                                 -;                                     -;                                   -
1107010001;1.01.99.00;Otros activos corrientes;FONDOS POR RENDIR ;28.410.131;                                 -;                                     -;                                   -
1107010002;1.03.24.00;Anticipo y préstamos a los empleados;CTACTEPERSONAL ;53.652.325;                                 -;                                     -;                                   -
1107010004;1.03.24.00;Anticipo y préstamos a los empleados;ANTICIPO DE REMUNERACIONES;                                -;                                 -;                                     -;                                   -
